Name,Cuisine Type,Service Style,Meal Focus,Description,Neighborhood,Vegan,Gluten‑Free,Dairy‑Free
A. Schwab Trading Company,"Snacks, Sweets, Specialty Store","Casual, Retail","All-day, Snack","A. Schwab Trading Company is a historic Beale Street general store known for its nostalgic charm. Visitors can explore Memphis souvenirs, old-fashioned sodas, quirky gifts, and local treats all in one vintage setting. While the focus here isn’t on dining, you’ll find classic candies and sodas to enjoy as a nostalgic snack.",Beale Street,0,0,0
Alcenia’s Southern Style Cuisine,"Southern, Soul Food","Casual, Family-style","Lunch, Dinner","Alcenia’s serves heartwarming, made-from-scratch Southern soul food in a brightly colored, welcoming space downtown. Specialties include fried chicken, catfish, salmon croquettes, cha‑cha cabbage, sweet potato cobbler, meatloaf, and hot-water cornbread. Owner B.J. personalizes service with Southern hospitality, and everything is cooked fresh daily. The nostalgic setting and generous portions make Alcenia’s a beloved community staple.",Downtown Memphis,0,0,0
Alfred's on Beale,"Southern, Bar & Grill","Casual, Bar","Lunch, Dinner","Alfred’s on Beale offers an energetic multi-level patio and Beale Street people-watching in a live music bar setting. The menu spans gumbo, nachos, torta-style sandwiches, fried green tomatoes, catfish, pulled pork, and baked pasta, along with salads and a rotating “blue‑plate” special. Cocktails, beers, and lively nightfall crowds blend with old-school southern hospitality for a classic Memphis street experience.",Beale Street,0,0,0
Amelia Gene's,"Global, Upscale, Fine Dining",Upscale,Dinner,"Amelia Gene’s transforms a historic warehouse into an elegant dining destination driven by seasonal, globally inspired dishes. Expect delicate bites like saffron bucatini, tempura squash blossoms, oyster plates, and a rotating tasting menu with a curated cheese cart and thoughtful wine service. The atmosphere blends refined hospitality with artistic presentation, ideal for intimate dinners or upscale evenings in downtown Memphis.",Downtown Memphis,0,0,0
B.B. King’s Blues Club,"Southern, Bar & Grill, Live Music","Casual, Bar","Lunch, Dinner","B.B. King’s Blues Club delivers classic Southern fare and live blues music nightly on iconic Beale Street. The menu features ribs, catfish, gumbo, and Southern-inspired appetizers, with select gluten-free options clearly marked. The vibrant, music-filled atmosphere makes it a popular spot for visitors seeking Memphis flavor and sound. While not an allergen-free kitchen, the labeled options support guests with gluten sensitivities.",Beale Street,0,1,0
Bar DKDC,"Global, Street Food","Casual, Bar","Lunch, Dinner","Nestled in Cooper‑Young, Bar DKDC is a funky, artsy spot offering ever‑changing global street food inspired by Mexico, the Caribbean, Spain, and beyond. Diners enjoy small plates like jerk chicken tacos on corn tortillas, Mediterranean sliders, and Caribbean‑spiced tacos in an intimate, loft‑like space adorned with international art. Excellent cocktails, soul music nights, and vintage décor—plus a vintage photo booth—add to its inventive, spirited vibe.",Midtown,0,1,0
Bar Ware,"Bar, Casual","Modern, Casual","Lunch, Dinner","Bar Ware offers a modern, casual downtown atmosphere with a focus on elevated bar fare and creative cocktails. Shareable plates, sandwiches, and comforting small bites make it ideal for an after-work stop or casual dinner. Vegetarian options and some lighter items are available, so guests can enjoy an approachable yet thoughtful dining experience while mingling over drinks.",Downtown Memphis,0,0,0
Belle Tavern,Bar,"Cozy, Casual","Drinks, Late-night","Belle Tavern is a tucked-away whiskey-focused alley bar known for its skilled cocktails, comfortable seating, and low-lit vibe. Although small bites and sliders are available from its sister steakhouse, the focus is on the drinks program—from bourbon flights to seasonal specials. It’s a favorite after-hours spot where mixology meets cozy conversation in a discreet, stylish setting.",Downtown Memphis,0,0,0
Birdie’s,"Southern, Bar & Grill","Casual, Bar","Lunch, Dinner","Birdie’s offers an elevated bar and grill experience with a focus on Southern-inspired small plates and creative cocktails, all served in a chic, stylish setting. Its refined yet approachable menu includes shareables and inventive twists on familiar dishes. Vegetarian-friendly options and lighter selections are available, making it easy to tailor your meal while soaking in the lively atmosphere.",Downtown Memphis,0,0,0
Blues City Cafe,"Southern, Soul Food","Casual, Bar","Lunch, Dinner","Blues City Cafe is a beloved Beale Street staple serving classic Southern and soul food dishes like ribs, catfish, and gumbo in a casual, music-filled atmosphere. Its lively, welcoming vibe makes it a must-visit for visitors looking to soak up Memphis’s energy. While the menu leans hearty, guests will find salads and veggie sides that can accommodate lighter or vegetarian preferences.",Beale Street,0,0,0
